Job Title,Location,Salary,Monthly Salary,Locality,City,State
Quality Control - Trainee,"Verna, Goa",Not specified,,,Verna,Goa
Cast Member,"Tenkasi, Tamil Nadu","₹1,000 - ₹5,000 a day",3000.0,,Tenkasi,Tamil Nadu
Accounts Assistant,"Borivali East, Mumbai, Maharashtra","₹10,000 - ₹20,000 a month",15000.0,Borivali East,Mumbai,Maharashtra
Front Office,"Chamba, Himachal Pradesh","₹20,000 - ₹25,000 a month",22500.0,,Chamba,Himachal Pradesh
Germany Physiotherapist,"Noida, Uttar Pradesh","₹2,00,000 a month",200000.0,,Noida,Uttar Pradesh
Vacancy for BA/BBA/BCA/BSc Fresher graduates,"Baddi, Himachal Pradesh","₹1,00,000 - ₹1,50,000 a year",125000.0,,Baddi,Himachal Pradesh
Packaging- Technical Trainee,"Jammu, Jammu and Kashmir",Not specified,,,Jammu,Jammu and Kashmir
Data Entry Operator,Delhi,Not specified,,Delhi,Delhi,Delhi
Pick Packer,"Pappanaickenpalayam, Coimbatore, Tamil Nadu","₹7,000 - ₹11,000 a month",9000.0,Pappanaickenpalayam,Coimbatore,Tamil Nadu
Office Work Experience,"Samastipur, Bihar","From ₹10,000 a month",,,Samastipur,Bihar
